Code,Title,Description\n
participationInCriminalOrganization,Participation in a criminal organisation,ESPD Section III Exclusion Grounds Part A Grounds Relating To Criminal Convictions\n
corruption,Corruption,ESPD Section III Exclusion Grounds Part A Grounds Relating To Criminal Convictions\n
fraud,Fraud,ESPD Section III Exclusion Grounds Part A Grounds Relating To Criminal Convictions\n
terroristOffencesOrOffencesLinkedToTerroristActivities,Terrorist offences or offences linked to terrorist activities,ESPD Section III Exclusion Grounds Part A Grounds Relating To Criminal Convictions\n
moneyLaunderingOrTerroristFinancing,Money laundering or terrorist financing,ESPD Section III Exclusion Grounds Part A Grounds Relating To Criminal Convictions\n
childLabourAndOtherFormsOfTraffickingInHumanBeings,Child labour and other forms of trafficking in human beings,ESPD Section III Exclusion Grounds Part A Grounds Relating To Criminal Convictions\n
paymentOfTaxes,Payment of taxes,ESPD Section III Exclusion Grounds Part B Grounds Relating To The Payment Of Taxes Or Social Security Contributions\n
paymentOfSocialSecurityContributions,Payment of social security contributions,ESPD Section III Exclusion Grounds Part B Grounds Relating To The Payment Of Taxes Or Social Security Contributions\n
breachingOfObligationsInTheFieldsOfEnvironmentalLaw,Breaching of obligations in the fields of environmental law,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
breachingOfObligationsInTheFieldsOfSocialLaw,Breaching of obligations in the fields of social law,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
breachingOfObligationsInTheFieldsOfLabourLaw,Breaching of obligations in the fields of labour law,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
bankruptcy,Bankruptcy,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
insolvency,Insolvency,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
arrangementWithCreditors,Arrangement with creditors,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
analogousSituationLikeBankruptcyUnderNationalLaw,Analogous situation like bankruptcy under national law,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
assetsBeingAdministeredByLiquidator,Assets being administered by liquidator,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
businessActivitiesAreSuspended,Business activities are suspended,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
guiltyOfGraveProfessionalMisconduct,Guilty of grave professional misconduct,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
agreementsWithOtherEconomicOperatorsAimedAtDistortingCompetition,Agreements with other economic operators aimed at distorting competition,ESPD Section III Exclusion Grounds Part C Grounds Relating To Insolvency Conflicts Of Interests Or Professional Misconduct\n
